Eu quero ser de Deus;Celina Borges;Uma vida de graça e vitória | É o que Deus tem pra te dar | A condição pra você recebê-la | É a busca da Santidade |  | Uma vida de graça e vitória | É o que Deus tem pra te dar | A condição pra você recebê-la | É a busca da Santidade |  | Lutar contra todo pecado | Que te separa de Deus | Romper com todas cadeias | Ser livre,inteiramente de Deus |  | Eu quero ser de Deus | Eu quero ser de Deus | Eu quero viver esse amor! |  | Eu quero ser de Deus | Eu quero ser de Deus | Eu quero viver esse amor |  | Ooh,ooh,ooh! | Ooh,ooh,ooh!
Kyrie;Capella;| Senhor, que viestes ao mundo para nos salvar, tem piedade de nós | Kyrie, Kyrie, Kyrie Eleison | Kyrie, Kyrie, Kyrie Eleison | Ó Cristo, que continuais a nos visitar, tem piedade de nós | Christe, Christe, Christe Eleison | Christe, Christe, Christe Eleison | Senhor, que vireis um dia para nos julgar, tem piedade de nós | Kyrie, Kyrie, Kyrie Eleison | Kyrie, Kyrie, Kyrie Eleison |
Glória a Deus nas alturas;Eliana Ribeiro;Glória a Deus nas alturas | E paz na terra aos homens por Ele amados | Senhor Deus, Rei dos céus, Deus Pai todo poderoso | Nós vos louvamos | Nós vos bendizemos | Nós vos adoramos | Nós vos glorificamos |  | Nós vos damos graças, por vossa imensa glória. | Senhor Jesus Cristo, Filho Unigênito | Senhor Deus, Cordeiro de Deus, Filho de Deus Pai | Vós que tirais o pecado do mundo, tende piedade de nós | Vós que tirais o pecado do mundo | Acolhei a nossa súplica |  | Vós que estais à direita do Pai | Tende piedade de nós | Só vós sois Santo | Só vós o Senhor | Só vós o Altíssimo, Jesus Cristo | Com o Espírito Santo | na glória de Deus Pai. Amém! |
Aleluia a minh'alma abrirei;Músicas católicas;Aleluia, aleluia, a  minh'alma  abrirei | Aleluia, aleluia, Cristo é meu Rei! |  | Aleluia,  aleluia, a  minh'alma abrirei | Aleluia,  aleluia, Cristo é meu Rei! |  | Aleluia,  aleluia, a   minh'alma abrirei | Aleluia,  aleluia, Cristo é meu Rei,,,,,,
Nossa oferta de amor;Comunidade católica Shalom;Vidas que se ofertam neste altar | Para novas vidas gerar | Como o grão de trigo cai e morre para frutificar |  | Dons que se consagram neste altar | O Eterno vem o tempo tocar | Sacrifício de amor que sempre se renovará | Como no Altar da Cruz, o milagre da vida se fará |  | Hoje nossa pobreza se encontra no altar | Com a Tua grandeza, Senhor! | Nossa vida perdida no vinho e no pão | Eis a nossa oferta de amor!,,,,,,,,,,,,,,,,
Santo;Frei Gilson;Santo, santo, santo | Senhor Deus do universo | Senhor Deus do universo |  | Santo, santo, santo | Senhor Deus do universo | Senhor Deus do universo |  | O céu e a terra proclamam vossa glória | Hosana nas alturas | Bendito o que vem em nome do Senhor | Hosana nas Alturas,,,,,,,,,,,,,,
Vem eu mostrarei;Músicas católicas;Vem, e eu mostrarei  | que o meu caminho te leva ao pai, | guiarei os passo teus  | e junto a ti hei de seguir. | Sim, Eu Irei E Saberei | Como Chegar Ao Fim, | De Onde Vim, Aonde Vou: | Por Onde Irás, Irei Também |  | vem, e eu te direi  | o que ainda estás a procurar. | A verdade é como o sol | e invadirá seu coração. | Sim, Eu Irei E Aprenderei | Minha Razão De Ser. | Eu Creio Em Ti Que Crês Em Mim | E À Tua Luz Verei A Luz. |  | vem, e eu te farei  | da minha vida participar. | Viverás em mim aqui: | viver em mim é o bem maior. | Sim, Eu Irei E Viverei  | A Vida Inteira Assim. | Eternidade É, Na Verdade  | O Amor Vivendo Sempre Em Nós. |  | vem, que a terra espera | quem possa e queira realizar, | com amor a construção  | de um mundo novo muito melhor! | Sim, Eu Irei E Levarei  | Teu Nome Aos Meus Irmãos. | Iremos Nós E O Teu Amor  | Vai Construir Enfim A Paz!
A escolhida;Músicas católicas;Uma entre todas foi a escolhida: | Foste tu Maria, serva preferida, | Mãe do meu Senhor, Mãe do meu Salvador. |  | Refrão: |  | Maria,cheia de graça e consolo, | Venha caminhar com teu povo, | Nossa mãe sempre será! |  | Roga pelos pecadores desta terra, | Roga pelo povo que em teu Deus espera, | Mãe do meu Senhor, Mãe do meu Salvador
Kyrie Eleison;Nando Mendes;| Kyrie eleison, kyrie eleison | Kyrie eleison, kyrie eleison | Eu reconheço toda minha iniquidade | Fiz o que é mal aos vossos olhos | Christe eleison, christe eleison | Christe eleison, christe eleison | Criai em mim um coração que seja puro | Lavai-me inteiro do pecado | Kyrie eleison, kyrie eleison | Kyrie eleison, kyrie eleison | Não afasteis de mim senhor a vossa face | Nem retireis o vosso auxílio | Kyrie eleison, kyrie eleison | Kyrie eleison, kyrie eleison |
Glória1;Shalom;| Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Senhor Deus, Rei dos céus, Deus Pai onipotente | Vos louvamos, bendizemos, adoramos | Nós Vos glorificamos e nós Vos damos graças, por Vossa  | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Jesus Cristo, Senhor Deus, Filho único do Pai | Cordeiro de Deus que tirais o pecado do mundo, tende piedade | Vós que estais a direita do Pai, tende piedade | Vós que tirais o pecado do mundo, tende piedade, acolhei a nossa súplica | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Só Vós sois o Santo, o Senhor, o Altíssimo, só Vós | Jesus Cristo, com o Espírito e o Pai, em sua  | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz | Glória, glória a Deus nas alturas | Ô, ô glória e a nós a Sua paz |
A Felicidade;Juninho Cassimiro;| Além de Vós, o que há pra mim no céu? | Se Vos possuo nada mais me atrai aqui | Meu coração pode já desfalecer | A minha herança eterna é o meu Deus | O meu Deus é a minha riqueza | Tudo mais perde o seu valor | Desprezei as paixões dessa terra | A fim de ganhar teu olhar | E ficar Contigo, meu Rei | Para mim a felicidade é me aproximar de Deus | Ah, dos Vossos altares, dos Vossos altares! | Senhor dos exércitos, meu Rei e meu Deus |
Lugar de Adoração e Vida;Ministério Adoração e Vida;| Todos esses dias esperei | Eu vim contando as horas pra chegar | E encontrar vocês aqui, amigos e irmãos | A semana inteira eu quis estar neste lugar... | De adoração e vida, de adoração e vida | Lugar de adoração e vida | Cada passo Ele me ordenou | Em boa companhia devo andar | E fugir da ocasião que me faz errar | E por isso eu vim buscar a paz neste lugar... | De adoração e vida, de adoração e vida | Lugar de adoração e vida | Quem é que vai trilhar este caminho? | Quem é que vai seguir a Jesus Cristo? | Quem é que tem coragem de dizer que sim, contigo eu vou?! |
Fala Senhor;Frei Gilson;| Aleluia, aleluia | Aleluia, aleluia | Aleluia, aleluia | Aleluia, aleluia | Fala senhor, precisamos ouvir sua voz | Tua palavra nos sustenta a cada dia | Sei que o Senhor irá falar | Sei que o Senhor irá falar | Meu coração seja terra fértil | Para colher a tua palavra | Sei que o Senhor irá falar | Sei que o Senhor irá falar |
Santo;Capella;| Santo, Santo, Santo é o Senhor | Senhor Deus do Universo | O céu e a terra proclamam a Vossa glória | Santo, Santo, Santo é o Senhor, Senhor Deus do Universo | O céu e a terra proclamam a Vossa glória | Hosana no alto céu | Bendito é aquele que vem em nome do Senhor | Hosana, Hosana no alto céu | Hosana, Hosana no alto céu | Santo, Santo, Santo é o Senhor | Senhor Deus do Universo | O céu e a terra proclamam a Vossa glória | Hosana no alto céu |
Cordeiro de Deus;Padre Marcelo Rossi;| Cordeiro de Deus, Que tiras o pecado do mundo | Tende piedade, tende piedade | Tende piedade, piedade de nós | Cordeiro de Deus, Que tiras o pecado do mundo | Tende piedade, tende piedade | Tende piedade, piedade de nós | Cordeiro de Deus, Que tiras o pecado do mundo | Dai-nos a paz, dai-nos a paz | Dai-nos a paz, Senhor | A Vossa paz |
Convívio dos Eleitos;Juninho Cassimiro;| O Senhor me libertou | O que mais me prende aqui | Nada me seduz ah ah | Meu amor por Ti Jesus | É o que tenho de valor | Nada me atrai, nada | Tarde Te amei mas Te encontrei amor | O meu maior bem é ser todo Teu Jesus | Por nada eu Te trocaria | Por nada eu Te deixaria nada nada | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | O Senhor me libertou | O que mais me prende aqui | Nada me seduz (nada) | Meu amor por Ti Jesus | É o que tenho de valor | Nada me atrai ah ah | Tarde Te amei mas Te encontrei amor | O meu maior bem é ser todo Teu Jesus | Por nada eu Te trocaria | Por nada eu Te deixaria nada nada | Não quero as honras | Nem quero riquezas | Quero me esconder | Eu prefiro o Paraíso | Não quero as honras | Nem quero riquezas | Quero me esconder | Eu prefiro o Paraíso | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Concedei-me o convívio dos eleitos | Eu sonho com o céu a todo tempo | Todo tempo | Eu sonho com o céu | A todo tempo | Paraíso | Paraíso | Eu prefiro o paraíso | Paraíso paraíso | Paraíso | Paraíso | Paraíso | Eu prefiro o paraíso | Paraíso paraíso | Paraíso | Paraíso | Paraíso | Eu prefiro o paraíso | Paraíso paraíso | Paraíso |
Deus esteja com seu povo;Católicas;| O povo de Deus no deserto andava | Mas à sua frente Alguém caminhava | O povo de Deus era rico de nada | Só tinha a esperança e o pó da estrada | Também sou Teu povo, Senhor | E estou nessa estrada | Somente a Tua graça me basta e mais nada! | O povo de Deus também vacilava | Às vezes custava a crer no amor | O povo de Deus, chorando, rezava | Pedia perdão e recomeçava | Também sou Teu povo, Senhor | E estou nessa estrada | Perdoa se, às vezes, não creio em mais nada! | O povo de Deus também teve fome | E Tu lhe mandaste o pão lá do céu | O povo de Deus, cantando, deu graças | Provou Teu amor, Teu amor que não passa | Também sou Teu povo, Senhor | E estou nessa estrada | Tu és alimento na longa jornada! | O povo de Deus ao longe avistou | A terra querida que o amor preparou | O povo de Deus corria e cantava | E nos seus louvores, Teu poder proclamava | Também sou Teu povo, Senhor | E estou nessa estrada | Cada dia mais perto da terra esperada! | Também sou Teu povo, Senhor | E estou nessa estrada | Cada dia mais perto da terra esperada! | Também sou Teu povo, Senhor | E estou nessa estrada |
